Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
103,tt0075655,2016-10-27,2016-10-27,"focus is on teenage runaways with the main character being a kept boy just a sub-plot, but that adds up quite nicely in this time piece which caused quite a stir. The sugar daddy thing isn't so unrealistic either.","Alexander: The Other Side of Dawn","Alexander: The Other Side of Dawn",https://www.imdb.com/title/tt0075655/,TV Movie,6.4,96,1977,"Drama",293,1977-05-16,"John Erman",,
104,tt0074273,2017-10-07,2017-10-07,"Later megastar Victoria Abril plays a trans woman in her first lead role and is actually quite convincing as a young man, with fellow Almodóvar regular Bibi Andersen co-starring. Aranda goes for some lurid shots, the story is a bit kitsch but overall it's OK to watch.","Change of Sex","Cambio de sexo",https://www.imdb.com/title/tt0074273/,Movie,6.4,108,1977,"Drama",380,1977-05-13,"Vicente Aranda",,
105,tt0076280,2013-08-15,2014-06-13,"Surprising for Wolfgang Petersen's modest direction and Jürgen Prochnow's mature acting, since both would go on to make 'Das Boot', this is one of the best early gay-themed films I know.","The Consequence","Die Konsequenz",https://www.imdb.com/title/tt0076280/,TV Movie,7.2,100,1977,"Drama, Romance",1123,1977-12-02,"Wolfgang Petersen",,
106,tt0076837,2017-10-07,2017-10-07,"Another Spanish trans-themed film, quite similar story to Cambio de sexo but this one's a dud, starring sex symbol Agata Lys who wasn't the best actress. Why so many Spanish LGBT titles that year? With dictator Franco's death in 1975, censorship had ended, making Spanish media content one of the most liberated for a number of years.","El transexual","El transexual",https://www.imdb.com/title/tt0076837/,Movie,5.1,78,1977,"Drama",60,1977-10-17,"José Jara",,
107,tt0075069,2016-10-27,2016-10-27,"was celebrated at the time for being the first gay-themed Spanish film with full exposure, and director Eloy de la Iglesia was gay. But I find his work quite problematic, as his older man-younger man relationships tend to portray the sugar daddy as a troubled individual abused by criminal juveniles. Still, this is easily his best film.","Hidden Pleasures","Los placeres ocultos",https://www.imdb.com/title/tt0075069/,Movie,6.7,95,1977,"Drama",463,1986-04,"Eloy de la Iglesia",,
108,tt0076378,2017-10-07,2017-10-07,"Another Spanish LGBT entry that year was the first Spanish-language Lesbian romance with Rocio Durcal, who regretted doing the film, stopped acting and became a very successful singer. Barbara Rey's career also took a dive because the film was attacked for its gay content, but ultimately she became a very famous TV host. In spite of the critics, the film was a success in relation to screens number.","Me siento extraña","Me siento extraña",https://www.imdb.com/title/tt0076378/,Movie,4.7,88,1977,"Drama",123,1979-12-06,"Enrique Martí Maqueda",,
109,tt0076513,2013-08-15,2013-08-15,"bio retracing Craig Russell's career as a female impersonator touring gay clubs is interesting for depicting the scene as it once was.","Outrageous!","Outrageous!",https://www.imdb.com/title/tt0076513/,Movie,6.9,96,1977,"Comedy, Drama",1065,1977-07-31,"Richard Benner",,
110,tt0076085,2013-08-15,2013-08-15,"none less than Sophia Loren and Marcello Mastroianni in the first film to address the topic of persecution of homosexuals during Fascism.","A Special Day","Una giornata particolare",https://www.imdb.com/title/tt0076085/,Movie,8.1,103,1977,"Drama",17526,1977-10,"Ettore Scola",,
111,tt0075616,2013-10-03,2014-06-13,"first Spanish film to address the subject of homosexuality head-on, the film deals with an ageing magician recalling his love affair with gay poet (and Nobel laureate) Garcia Lorca.","To an Unknown God","A un Dios desconocido",https://www.imdb.com/title/tt0075616/,Movie,6.2,104,1977,"Drama",191,1982-07,"Jaime Chávarri",,
112,tt0199143,2016-10-27,2016-10-27,"easily the best of the 70s gay-themed documentaries and an important historical document on film.","Word Is Out","Word Is Out",https://www.imdb.com/title/tt0199143/,Movie,8.0,124,1977,"Documentary, Biography, History",565,1979-01-31,"Nancy Adair, Andrew Brown, Rob Epstein",,
113,tt0077435,2016-10-27,2016-10-27,"Much vilified for insinuating that people can change their orientations like shirts, this fluffy piece doesn't actually quite do that, and suffers more from Perry King's lack of talent than a predictable script.","A Different Story","A Different Story",https://www.imdb.com/title/tt0077435/,Movie,5.6,108,1978,"Drama, Romance",514,1979-07-06,"Paul Aaron",,
114,tt0077164,2017-10-10,2017-10-10,"In spite of very bad image quality and quite a few stereotypes, this one's a real gem, owing to Dolphy, one of the Philippines' biggest stars. He wasn't gay/trans in real life but often took roles like this to push for greater acceptance. His performance and a good story make this one of the most watch-worthy queer films of the '70s.","My Father, My Mother","Ang Tatay Kong Nanay",https://www.imdb.com/title/tt0077164/,Movie,7.0,116,1978,"Drama",459,1978-06-02,"Lino Brocka",,
115,tt0077438,2017-10-07,2017-10-07,"Again, Eloy de Iglesia puts an older man-younger boy relationship at the center of what is otherwise a political conspiracy thriller. This can be read as a comment on the transitioning of Spain at the time but it's not written well.","Confessions of a Congressman","El diputado",https://www.imdb.com/title/tt0077438/,Movie,6.7,110,1978,"Drama",835,1985-11-01,"Eloy de la Iglesia",,
116,tt0076336,2013-09-13,2014-06-13,"adaptation of Chilean gay writer José Donoso's novel centered on a Transvestite, this is a very bold, excessive marvel of a film, but of course tragedy ensues.","The Place Without Limits","El lugar sin límites",https://www.imdb.com/title/tt0076336/,Movie,7.5,110,1978,"Drama",1796,1978-04-28,"Arturo Ripstein",,
117,tt0077729,2016-10-27,2016-10-27,"Fassbender's piece on a trans woman goes deeply psychoanalytical and paints a far too depressing and hopeless picture in my view, but highlights his own gender confusion. Still, not a film to watch for younger trans people, I would presume.","In a Year with 13 Moons","In einem Jahr mit 13 Monden",https://www.imdb.com/title/tt0077729/,Movie,7.3,124,1978,"Drama",5039,1980-06-11,"Rainer Werner Fassbinder",,
118,tt0077288,2013-08-15,2016-10-27,"cult comedy was the first gay-themed film which was a huge hit even with straight audiences, and won the foreign film Golden Globe. Chock full of clichés, it's nevertheless honestly sympathetic.","La Cage aux Folles","La cage aux folles",https://www.imdb.com/title/tt0077288/,Movie,7.2,97,1978,"Comedy",12563,1979-05-13,"Édouard Molinaro",,
119,tt0076152,2016-10-27,2016-10-27,"Perhaps the most interesting of the 70s post-Franco gay films, as this one combines anti-fascist resistance with underground culture and a love story, which makes for a pretty good, albeit tragic, story.","A Man Called Autumn Flower","Un hombre llamado Flor de Otoño",https://www.imdb.com/title/tt0076152/,Movie,6.7,100,1978,"Drama",242,1978-09-25,"Pedro Olea",,
