"Position","Const","Created","Modified","Description","Title","Original.Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors","Your.Rating","Date.Rated"
1,"tt3260524","2020-05-29","2020-05-29","Available to stream on Netflix","A Secret Love","A Secret Love","https://www.imdb.com/title/tt3260524/","Movie","7.8","81","2020","Documentary, Biography, Drama, Romance","5121","2020-04-29","Chris Bolan","",""
2,"tt1315981","2020-05-29","2020-05-29","Available to stream on Netflix","A Single Man","A Single Man","https://www.imdb.com/title/tt1315981/","Movie","7.5","99","2009","Drama, Romance, Thriller","120608","2010-02-05","Tom Ford","",""
3,"tt5688996","2020-05-29","2020-05-29","Available to stream on Netflix","Alex Strangelove","Alex Strangelove","https://www.imdb.com/title/tt5688996/","Movie","6.3","99","2018","Comedy, Drama, Romance","20180","2018-06-08","Craig Johnson","",""
4,"tt3212408","2020-05-29","2020-05-29","Available to stream on Prime Video","Beautiful Something","Beautiful Something","https://www.imdb.com/title/tt3212408/","Movie","6.4","97","2015","Drama, Romance","1298","2016-05-06","Joseph Graham","",""
5,"tt3704352","2020-05-29","2020-05-29","Available to stream on Prime Video","Bessie","Bessie","https://www.imdb.com/title/tt3704352/","TV Movie","6.7","115","2015","Biography, Drama, Music","4980","2015-05-16","Dee Rees","",""
6,"tt4370596","2020-05-29","2020-05-29","Available to stream on Hulu","Better Things","Better Things","https://www.imdb.com/title/tt4370596/","TV Series","7.9","22","2016","Comedy, Drama","19516","2016-09-08","","",""
7,"tt2278871","2020-05-29","2020-05-29","Available to stream on Netflix","Blue Is the Warmest Colour","La vie d'Adèle","https://www.imdb.com/title/tt2278871/","Movie","7.7","180","2013","Drama, Romance","169701","2013-10-09","Abdellatif Kechiche","",""
8,"tt1727824","2020-05-29","2020-05-29","Available to stream on HBO","Bohemian Rhapsody","Bohemian Rhapsody","https://www.imdb.com/title/tt1727824/","Movie","7.9","134","2018","Biography, Drama, Music","626308","2018-11-02","Bryan Singer","",""
9,"tt1489887","2020-05-29","2020-05-29","Available to stream on Hulu","Booksmart","Booksmart","https://www.imdb.com/title/tt1489887/","Movie","7.1","102","2019","Comedy","137575","2019-05-24","Olivia Wilde","",""
10,"tt2296697","2020-05-29","2020-05-29","Available to stream on Netflix","Concussion","Concussion","https://www.imdb.com/title/tt2296697/","Movie","5.6","96","2013","Drama","5970","2013-12-05","Stacie Passon","",""
11,"tt0790636","2020-05-29","2020-05-29","Available to stream on Netflix","Dallas Buyers Club","Dallas Buyers Club","https://www.imdb.com/title/tt0790636/","Movie","7.9","117","2013","Biography, Drama","537386","2013-11-22","Jean-Marc Vallée","",""
12,"tt4676574","2020-05-29","2020-05-29","Available to stream on Hulu","Difficult People","Difficult People","https://www.imdb.com/title/tt4676574/","TV Series","7.1","30","2015","Comedy","4793","2015-08-05","","",""
13,"tt2558816","2020-05-29","2020-05-29","Available to stream on Netflix","Eastsiders","Eastsiders","https://www.imdb.com/title/tt2558816/","TV Series","6.9","115","2012","Drama","3235","2012-12-14","","",""
14,"tt6704898","2020-05-29","2020-05-29","Available to stream on Netflix","Elisa & Marcela","Elisa y Marcela","https://www.imdb.com/title/tt6704898/","Movie","6.6","118","2019","Biography, Drama, Romance","6329","2019-06-07","Isabel Coixet","",""
15,"tt10098620","2020-05-29","2020-05-29","Available to stream on Prime Video","Feel Good","Feel Good","https://www.imdb.com/title/tt10098620/","TV Series","7.5","","2020","Comedy, Drama, Romance","14616","2020-03-19","","",""
16,"tt4262174","2020-05-29","2020-05-29","Available to stream on Hulu","First Girl I Loved","First Girl I Loved","https://www.imdb.com/title/tt4262174/","Movie","6.1","90","2016","Drama, Romance","4264","2016-10-18","Kerem Sanga","",""
17,"tt5430288","2020-05-29","2020-05-29","Available to stream on Hulu","Gaycation","Gaycation","https://www.imdb.com/title/tt5430288/","TV Series","8.0","60","2016","Documentary","1551","2016-03-02","","",""
18,"tt7211618","2020-05-29","2020-05-29","Available to stream on HBO","Gentleman Jack","Gentleman Jack","https://www.imdb.com/title/tt7211618/","TV Series","8.2","60","2019","Biography, Drama, History, Romance","16892","2019-04-22","","",""
19,"tt5635086","2020-05-29","2020-05-29","Available to stream on Prime Video","God's Own Country","God's Own Country","https://www.imdb.com/title/tt5635086/","Movie","7.6","104","2017","Drama, Romance","38692","2017-08-24","Francis Lee","",""
20,"tt6078096","2020-05-29","2020-05-29","Available to stream on HBO","High Maintenance","High Maintenance","https://www.imdb.com/title/tt6078096/","TV Series","8.1","30","2016","Comedy, Drama","11460","2016-09-16","","",""
21,"tt9446688","2020-05-29","2020-05-29","Available to stream on Netflix","I Am Not Okay with This","I Am Not Okay with This","https://www.imdb.com/title/tt9446688/","TV Series","7.5","20","2020","Comedy, Drama, Fantasy, Sci-Fi","79461","2020-02-26","","",""
22,"tt2011953","2020-05-29","2020-05-29","Available to stream on Prime Video","Keep the Lights On","Keep the Lights On","https://www.imdb.com/title/tt2011953/","Movie","6.4","101","2012","Drama, Romance","6336","2012-07-27","Ira Sachs","",""
23,"tt5278598","2020-05-29","2020-05-29","Available to stream on Hulu","Kiki","Kiki","https://www.imdb.com/title/tt5278598/","Movie","6.8","94","2016","Documentary","651","2017-02-24","Sara Jordenö","",""
24,"tt11048090","2020-06-09","2020-06-09","Available to stream on HBO Max","Legendary","Legendary","https://www.imdb.com/title/tt11048090/","TV Series","8.1","50","2020","Reality-TV","2085","2020-05-27","","",""
25,"tt2581458","2020-05-29","2020-05-29","Available to stream on HBO","Looking","Looking","https://www.imdb.com/title/tt2581458/","TV Series","8.2","30","2014","Comedy, Drama, Romance","22760","2014-01-19","","",""
26,"tt10166602","2020-05-29","2020-05-29","Available to stream on Hulu, June 19","Love, Victor","Love, Victor","https://www.imdb.com/title/tt10166602/","TV Series","8.0","30","2020","Comedy, Drama, Romance","23648","2020-06-17","","",""
27,"tt4975722","2020-05-29","2020-05-29","Available to stream on Netflix","Moonlight","Moonlight","https://www.imdb.com/title/tt4975722/","Movie","7.4","111","2016","Drama","343800","2016-11-18","Barry Jenkins","",""
28,"tt3385334","2020-05-29","2020-05-29","Available to stream on Hulu","Naz & Maalik","Naz & Maalik","https://www.imdb.com/title/tt3385334/","Movie","5.6","86","2015","Drama, Romance","557","2016-01-22","Jay Dockendorf","",""
29,"tt5339440","2020-05-29","2020-05-29","Available to stream on Netflix","One Day at a Time","One Day at a Time","https://www.imdb.com/title/tt5339440/","TV Series","8.1","30","2017","Comedy, Drama","19313","2017-01-06","","",""
30,"tt4158876","2020-05-29","2020-05-29","Available to stream on Netflix","Other People","Other People","https://www.imdb.com/title/tt4158876/","Movie","6.8","97","2016","Comedy, Drama","12893","2016-09-09","Chris Kelly","",""
31,"tt0107818","2020-05-29","2020-05-29","Available to stream on Netflix","Philadelphia","Philadelphia","https://www.imdb.com/title/tt0107818/","Movie","7.7","125","1993","Drama","268088","1994-01-14","Jonathan Demme","",""
32,"tt8613070","2020-05-29","2020-05-29","Available to stream on Hulu","Portrait of a Lady on Fire","Portrait de la jeune fille en feu","https://www.imdb.com/title/tt8613070/","Movie","8.0","122","2019","Drama, Romance","120837","2020-02-14","Céline Sciamma","",""
33,"tt7562112","2020-05-29","2020-05-29","Available to stream on Netflix","Pose","Pose","https://www.imdb.com/title/tt7562112/","TV Series","8.6","60","2018","Drama","35390","2018-06-03","","",""
34,"tt6053440","2020-05-29","2020-05-29","Available to stream on Prime Video and Hulu","Princess Cyd","Princess Cyd","https://www.imdb.com/title/tt6053440/","Movie","6.7","96","2017","Drama, Romance","4647","2017-11-03","Stephen Cone","",""
35,"tt7259746","2020-05-29","2020-05-29","Available to stream on Netflix","Queer Eye","Queer Eye","https://www.imdb.com/title/tt7259746/","TV Series","8.5","45","2018","Reality-TV","21929","2018-02-07","","",""
36,"tt2066051","2020-05-29","2020-05-29","Available to stream on Prime Video and Hulu","Rocketman","Rocketman","https://www.imdb.com/title/tt2066051/","Movie","7.3","121","2019","Biography, Drama, Music, Musical","204619","2019-05-31","Dexter Fletcher","",""
37,"tt1353056","2020-05-29","2020-05-29","Available to stream on Prime Video and Hulu","RuPaul's Drag Race","RuPaul's Drag Race","https://www.imdb.com/title/tt1353056/","TV Series","8.5","63","2009","Game-Show, Reality-TV","24887","2009-02-02","","",""
38,"tt3526078","2020-05-29","2020-05-29","Available to stream on IMDb TV and Netflix","Schitt's Creek","Schitt$ Creek","https://www.imdb.com/title/tt3526078/","TV Series","8.5","22","2015","Comedy","163418","2015-02-11","","",""
39,"tt7767422","2020-05-29","2020-05-29","Available to stream on Netflix","Sex Education","Sex Education","https://www.imdb.com/title/tt7767422/","TV Series","8.2","60","2019","Comedy, Drama, Romance","382235","2019-01-11","","",""
40,"tt8855960","2020-05-29","2020-05-29","Available to stream on Netflix, June 26","Straight Up","Straight Up","https://www.imdb.com/title/tt8855960/","Movie","6.9","95","2019","Comedy, Romance","3495","2020-04-17","James Sweeney","",""
41,"tt3824458","2020-05-29","2020-05-29","Available to stream on Hulu","Tangerine","Tangerine","https://www.imdb.com/title/tt3824458/","Movie","7.1","88","2015","Comedy, Crime, Drama","41069","2015-07-10","Sean Baker","",""
42,"tt0810819","2020-05-29","2020-05-29","Available to stream on Netflix","The Danish Girl","The Danish Girl","https://www.imdb.com/title/tt0810819/","Movie","7.1","119","2015","Biography, Drama","204073","2016-01-22","Tom Hooper","",""
43,"tt5233558","2020-05-29","2020-05-29","Available to stream on Netflix","The Death and Life of Marsha P. Johnson","The Death and Life of Marsha P. Johnson","https://www.imdb.com/title/tt5233558/","Movie","7.2","105","2017","Documentary, Biography","3301","2017-10-06","David France","",""
44,"tt9683478","2020-05-29","2020-05-29","Available to stream on Netflix","The Half of It","The Half of It","https://www.imdb.com/title/tt9683478/","Movie","6.9","104","2020","Comedy, Drama","45827","2020-05-01","Alice Wu","",""
45,"tt0330251","2020-05-29","2020-05-29","Available to stream on Hulu","The L Word","The L Word","https://www.imdb.com/title/tt0330251/","TV Series","7.7","50","2004","Drama, Romance","29923","2004-01-18","","",""
46,"tt7661384","2020-05-29","2020-05-29","Available to stream on Prime Video","The L Word: Generation Q","The L Word: Generation Q","https://www.imdb.com/title/tt7661384/","TV Series","7.4","50","2019","Drama","8879","2019-12-08","","",""
47,"tt0118125","2020-05-29","2020-05-29","Available to stream on Prime Video","The Watermelon Woman","The Watermelon Woman","https://www.imdb.com/title/tt0118125/","Movie","7.1","85","1996","Comedy, Drama, Romance","4452","1997-03-05","Cheryl Dunye","",""
48,"tt3986532","2020-05-29","2020-05-29","Available to stream on Netflix","Tig","Tig","https://www.imdb.com/title/tt3986532/","Movie","7.4","95","2015","Documentary, Biography","2934","2015-07-17","Kristina Goolsby, Ashley York","",""
49,"tt2351417","2020-05-29","2020-05-29","Available to stream on Prime Video","Trans","Trans","https://www.imdb.com/title/tt2351417/","Movie","7.0","104","2012","Documentary, Drama, Family, News","173","2012-03-09","Chris Arnold","",""
50,"tt2433738","2020-05-29","2020-05-29","Available to stream on Netflix","Wentworth","Wentworth","https://www.imdb.com/title/tt2433738/","TV Series","8.6","45","2013","Crime, Drama, Thriller","26335","2013-05-01","","",""
51,"tt10417836","2020-05-29","2020-06-09","Available to stream on Prime Video","Work in Progress","Work in Progress","https://www.imdb.com/title/tt10417836/","TV Series","7.4","30","2019","Comedy","2216","2019-12-08","","",""
52,"tt1013753","2020-06-27","2020-06-27","","Milk","Milk","https://www.imdb.com/title/tt1013753/","Movie","7.5","128","2008","Biography, Drama, History","183483","2009-01-30","Gus Van Sant","",""
53,"tt4635276","2020-06-27","2020-06-27","","Master of None","Master of None","https://www.imdb.com/title/tt4635276/","TV Series","8.2","30","2015","Comedy, Drama","77822","2015-11-06","","",""
54,"tt7767422","2021-05-24","2021-05-24","","Sex Education","Sex Education","https://www.imdb.com/title/tt7767422/","TV Series","8.2","60","2019","Comedy, Drama, Romance","382235","2019-01-11","","",""
55,"tt10062292","2021-05-24","2021-05-24","","Never Have I Ever","Never Have I Ever","https://www.imdb.com/title/tt10062292/","TV Series","7.8","30","2020","Comedy, Drama","89272","2020-04-27","","",""
56,"tt0108761","2020-06-27","2020-06-27","","Ellen","Ellen","https://www.imdb.com/title/tt0108761/","TV Series","6.1","30","1994","Comedy, Romance","6679","1994-03-29","","",""
57,"tt0018578","2020-06-27","2020-06-27","","Wings","Wings","https://www.imdb.com/title/tt0018578/","Movie","7.5","144","1927","Drama, Romance, War, Action","15585","1929-01-05","William A. Wellman, Harry d'Abbadie d'Arrast","",""
58,"tt0062144","2020-06-27","2020-06-27","","Portrait of Jason","Portrait of Jason","https://www.imdb.com/title/tt0062144/","Movie","7.0","105","1967","Documentary, Biography","1579","1967-09-29","Shirley Clarke","",""
59,"tt0065488","2020-06-27","2020-06-27","","The Boys in the Band","The Boys in the Band","https://www.imdb.com/title/tt0065488/","Movie","7.6","120","1970","Drama","6272","1970-03-17","William Friedkin","",""
60,"tt0211195","2020-06-27","2020-06-27","","An American Family","An American Family","https://www.imdb.com/title/tt0211195/","TV Series","7.3","720","1973","Documentary, Music, Reality-TV","288","1973-01-11","","",""
61,"tt0071690","2020-06-27","2020-06-27","","I, You, He, She","Je tu il elle","https://www.imdb.com/title/tt0071690/","Movie","6.6","86","1974","Drama","3599","1985-12-27","Chantal Akerman","",""
62,"tt0104036","2021-05-24","2021-05-24","","The Crying Game","The Crying Game","https://www.imdb.com/title/tt0104036/","Movie","7.2","112","1992","Crime, Drama, Romance, Thriller","62186","1993-02-19","Neil Jordan","",""
63,"tt0091578","2020-06-27","2020-06-27","","My Beautiful Laundrette","My Beautiful Laundrette","https://www.imdb.com/title/tt0091578/","Movie","6.8","97","1985","Comedy, Drama, Romance","18153","1986-04-04","Stephen Frears","",""
64,"tt0088782","2020-06-27","2020-06-27","","Before Stonewall","Before Stonewall","https://www.imdb.com/title/tt0088782/","Movie","7.5","87","1984","Documentary, History","1260","1985-06-27","Greta Schiller, Robert Rosenberg","",""
65,"tt0089015","2020-06-27","2020-06-27","","Desert Hearts","Desert Hearts","https://www.imdb.com/title/tt0089015/","Movie","7.1","91","1985","Drama, Romance","8006","1986-03-07","Donna Deitch","",""
66,"tt0093512","2020-06-27","2020-06-27","","Maurice","Maurice","https://www.imdb.com/title/tt0093512/","Movie","7.6","140","1987","Drama, Romance","25818","1987-09-18","James Ivory","",""
67,"tt0107818","2020-06-27","2020-06-27","","Philadelphia","Philadelphia","https://www.imdb.com/title/tt0107818/","Movie","7.7","125","1993","Drama","268088","1994-01-14","Jonathan Demme","",""
68,"tt0103099","2020-06-27","2020-06-27","","Tongues Untied","Tongues Untied","https://www.imdb.com/title/tt0103099/","Movie","7.1","55","1989","Documentary","2040","1989-07","Marlon Riggs","",""
69,"tt0100332","2020-06-27","2020-06-27","","Paris Is Burning","Paris Is Burning","https://www.imdb.com/title/tt0100332/","Movie","8.2","78","1990","Documentary","19874","1991-08","Jennie Livingston","",""
70,"tt0434124","2021-05-24","2021-05-24","","Kinky Boots","Kinky Boots","https://www.imdb.com/title/tt0434124/","Movie","7.1","107","2005","Comedy, Drama, Music","22335","2006-05-26","Julian Jarrold","",""
71,"tt0072979","2020-06-27","2020-06-27","","Female Trouble","Female Trouble","https://www.imdb.com/title/tt0072979/","Movie","7.1","89","1974","Comedy, Crime","11355","1976-02-15","John Waters","",""
72,"tt0109045","2020-06-27","2020-06-27","","The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert","https://www.imdb.com/title/tt0109045/","Movie","7.5","104","1994","Comedy, Music","58800","1994-08-10","Stephan Elliott","",""
73,"tt0115736","2020-06-27","2020-06-27","","Bound","Bound","https://www.imdb.com/title/tt0115736/","Movie","7.3","109","1996","Crime, Thriller","64835","1996-10-04","Lana Wachowski, Lilly Wachowski","",""
74,"tt3704352","2021-05-24","2021-05-24","","Bessie","Bessie","https://www.imdb.com/title/tt3704352/","TV Movie","6.7","115","2015","Biography, Drama, Music","4980","2015-05-16","Dee Rees","",""
75,"tt0116308","2020-06-27","2020-06-27","","Fire","Fire","https://www.imdb.com/title/tt0116308/","Movie","7.1","104","1996","Crime, Drama, Romance","6610","1997-08-22","Deepa Mehta","",""
76,"tt5437928","2021-05-24","2021-05-24","","Colette","Colette","https://www.imdb.com/title/tt5437928/","Movie","6.7","111","2018","Biography, Drama, History, Romance","27444","2019-01-09","Wash Westmoreland","",""
77,"tt0118125","2020-06-27","2020-06-27","","The Watermelon Woman","The Watermelon Woman","https://www.imdb.com/title/tt0118125/","Movie","7.1","85","1996","Comedy, Drama, Romance","4452","1997-03-05","Cheryl Dunye","",""
78,"tt2402927","2021-05-24","2021-05-24","","Carol","Carol","https://www.imdb.com/title/tt2402927/","Movie","7.3","118","2015","Drama, Romance","149704","2016-01-15","Todd Haynes","",""
79,"tt0185125","2020-06-27","2020-06-27","","All About My Mother","Todo sobre mi madre","https://www.imdb.com/title/tt0185125/","Movie","7.8","101","1999","Comedy, Drama, Romance","107425","2000-03-31","Pedro Almodóvar","",""
80,"tt0390538","2020-06-27","2020-06-27","","Tarnation","Tarnation","https://www.imdb.com/title/tt0390538/","Movie","7.1","88","2003","Documentary, Biography","6832","2004-11-10","Jonathan Caouette","",""
81,"tt0248654","2020-06-27","2020-06-27","","Six Feet Under","Six Feet Under","https://www.imdb.com/title/tt0248654/","TV Series","8.7","60","2001","Comedy, Drama","160420","2001-06-03","","",""
82,"tt0171804","2020-06-27","2020-06-27","","Boys Don't Cry","Boys Don't Cry","https://www.imdb.com/title/tt0171804/","Movie","7.5","118","1999","Biography, Crime, Drama, Romance","106289","2000-03-31","Kimberly Peirce","",""
83,"tt0370986","2020-06-27","2020-06-27","","Mysterious Skin","Mysterious Skin","https://www.imdb.com/title/tt0370986/","Movie","7.6","105","2004","Drama","81501","2005-06-24","Gregg Araki","",""
84,"tt0120684","2020-06-27","2020-06-27","","Gods and Monsters","Gods and Monsters","https://www.imdb.com/title/tt0120684/","Movie","7.3","105","1998","Biography, Drama","33702","1998-11-04","Bill Condon","",""
85,"tt3526078","2021-05-24","2021-05-24","","Schitt's Creek","Schitt$ Creek","https://www.imdb.com/title/tt3526078/","TV Series","8.5","22","2015","Comedy","163418","2015-02-11","","",""
86,"tt0118845","2020-06-27","2020-06-27","","Happy Together","Chun gwong ja sit","https://www.imdb.com/title/tt0118845/","Movie","7.7","96","1997","Drama, Romance","36792","1997-05-30","Wong Kar-Wai","",""
87,"tt0102687","2020-06-27","2020-06-27","","Poison","Poison","https://www.imdb.com/title/tt0102687/","Movie","6.3","85","1991","Drama, Horror, Romance, Sci-Fi","5305","1991-08-16","Todd Haynes","",""
88,"tt0248845","2020-06-27","2020-06-27","","Hedwig and the Angry Inch","Hedwig and the Angry Inch","https://www.imdb.com/title/tt0248845/","Movie","7.7","95","2001","Comedy, Drama, Music, Musical","38531","2001-08-31","John Cameron Mitchell","",""
89,"tt1796503","2020-06-27","2020-06-27","","Hit So Hard","Hit So Hard","https://www.imdb.com/title/tt1796503/","Movie","6.8","103","2011","Documentary, Biography, Music","754","2012-11-16","P. David Ebersole","",""
90,"tt10814438","2021-05-24","2021-05-24","","Betty","Betty","https://www.imdb.com/title/tt10814438/","TV Series","7.2","30","2020","Comedy, Sport","2999","2020-05-01","","",""
91,"tt0401085","2020-06-27","2020-06-27","","C.R.A.Z.Y.","C.R.A.Z.Y.","https://www.imdb.com/title/tt0401085/","Movie","7.8","129","2005","Comedy, Drama","34801","2022-06-03","Jean-Marc Vallée","",""
92,"tt0330251","2020-06-27","2020-06-27","","The L Word","The L Word","https://www.imdb.com/title/tt0330251/","TV Series","7.7","50","2004","Drama, Romance","29923","2004-01-18","","",""
93,"tt1327801","2020-06-27","2020-06-27","","Glee","Glee","https://www.imdb.com/title/tt1327801/","TV Series","6.8","44","2009","Comedy, Drama, Music, Musical","159232","2009-05-19","","",""
94,"tt0384504","2020-06-27","2020-06-27","","Saving Face","Saving Face","https://www.imdb.com/title/tt0384504/","Movie","7.4","91","2004","Comedy, Drama, Romance","14573","2005-06-24","Alice Wu","",""
95,"tt8613070","2020-06-27","2020-06-27","","Portrait of a Lady on Fire","Portrait de la jeune fille en feu","https://www.imdb.com/title/tt8613070/","Movie","8.0","122","2019","Drama, Romance","120837","2020-02-14","Céline Sciamma","",""
96,"tt0810819","2020-06-27","2020-06-27","","The Danish Girl","The Danish Girl","https://www.imdb.com/title/tt0810819/","Movie","7.1","119","2015","Biography, Drama","204073","2016-01-22","Tom Hooper","",""
97,"tt0150662","2020-06-27","2020-06-27","","Show Me Love","Fucking Åmål","https://www.imdb.com/title/tt0150662/","Movie","7.5","89","1998","Comedy, Drama, Romance","57073","1998-10-23","Lukas Moodysson","",""
98,"tt0102494","2020-06-27","2020-06-27","","My Own Private Idaho","My Own Private Idaho","https://www.imdb.com/title/tt0102494/","Movie","6.9","104","1991","Drama","64961","1991-07-20","Gus Van Sant","",""
99,"tt0382189","2020-06-27","2020-06-27","","My Summer of Love","My Summer of Love","https://www.imdb.com/title/tt0382189/","Movie","6.7","86","2004","Drama, Romance","22457","2005-07-01","Pawel Pawlikowski","",""
100,"tt0179116","2020-06-27","2020-06-27","","But I'm a Cheerleader","But I'm a Cheerleader","https://www.imdb.com/title/tt0179116/","Movie","6.8","85","1999","Comedy, Drama, Romance","48096","2000-08-11","Jamie Babbit","",""
101,"tt0388795","2020-06-27","2020-06-27","","Brokeback Mountain","Brokeback Mountain","https://www.imdb.com/title/tt0388795/","Movie","7.7","134","2005","Drama, Romance","404694","2006-01-13","Ang Lee","",""
102,"tt7725422","2021-05-24","2021-05-24","","Vida","Vida","https://www.imdb.com/title/tt7725422/","TV Series","7.4","30","2018","Comedy, Drama","4044","2018-05-06","","",""
103,"tt2581458","2021-05-24","2021-05-24","","Looking","Looking","https://www.imdb.com/title/tt2581458/","TV Series","8.2","30","2014","Comedy, Drama, Romance","22760","2014-01-19","","",""
104,"tt1233334","2020-06-27","2020-06-27","","Pariah","Pariah","https://www.imdb.com/title/tt1233334/","Movie","7.2","86","2011","Drama","7838","2012-10-31","Dee Rees","",""
105,"tt2431438","2021-05-24","2021-05-24","","Sense8","Sense8","https://www.imdb.com/title/tt2431438/","TV Series","8.2","60","2015","Drama, Mystery, Sci-Fi, Thriller","168317","2015-06-05","","",""
106,"tt6257174","2020-06-27","2020-06-27","","The Miseducation of Cameron Post","The Miseducation of Cameron Post","https://www.imdb.com/title/tt6257174/","Movie","6.6","91","2018","Comedy, Drama","26951","2018-09-07","Desiree Akhavan","",""
107,"tt9848536","2021-05-24","2021-05-24","","We Are Who We Are","We Are Who We Are","https://www.imdb.com/title/tt9848536/","TV Series","7.3","60","2020","Drama","10387","2020-09-14","","",""
108,"tt0139362","2020-06-27","2020-06-27","","High Art","High Art","https://www.imdb.com/title/tt0139362/","Movie","6.6","101","1998","Drama, Romance","11411","1998-06-12","Lisa Cholodenko","",""
109,"tt1315981","2020-06-27","2020-06-27","","A Single Man","A Single Man","https://www.imdb.com/title/tt1315981/","Movie","7.5","99","2009","Drama, Romance, Thriller","120608","2010-02-05","Tom Ford","",""
110,"tt0318997","2020-06-27","2020-06-27","","Angels in America","Angels in America","https://www.imdb.com/title/tt0318997/","TV Mini Series","8.1","60","2003","Drama, Fantasy, Romance","30970","2003-12-07","","",""
111,"tt8772296","2020-06-27","2020-06-27","","Euphoria","Euphoria","https://www.imdb.com/title/tt8772296/","TV Series","8.2","60","2019","Drama","276145","2019-06-16","","",""
112,"tt6905686","2021-05-24","2021-05-24","","Lovecraft Country","Lovecraft Country","https://www.imdb.com/title/tt6905686/","TV Series","7.1","60","2020","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","49542","2020-08-16","","",""
113,"tt5726616","2020-06-27","2020-06-27","","Call Me by Your Name","Call Me by Your Name","https://www.imdb.com/title/tt5726616/","Movie","7.8","132","2017","Drama, Romance","343356","2018-01-19","Luca Guadagnino","",""
114,"tt2278871","2020-06-27","2020-06-27","","Blue Is the Warmest Colour","La vie d'Adèle","https://www.imdb.com/title/tt2278871/","Movie","7.7","180","2013","Drama, Romance","169701","2013-10-09","Abdellatif Kechiche","",""
115,"tt4975722","2020-06-27","2020-06-27","","Moonlight","Moonlight","https://www.imdb.com/title/tt4975722/","Movie","7.4","111","2016","Drama","343800","2016-11-18","Barry Jenkins","",""
116,"tt7562112","2021-05-24","2021-05-24","","Pose","Pose","https://www.imdb.com/title/tt7562112/","TV Series","8.6","60","2018","Drama","35390","2018-06-03","","",""
117,"tt3824458","2020-06-27","2020-06-27","","Tangerine","Tangerine","https://www.imdb.com/title/tt3824458/","Movie","7.1","88","2015","Comedy, Crime, Drama","41069","2015-07-10","Sean Baker","",""
118,"tt5639354","2020-06-27","2020-06-27","","A Fantastic Woman","Una mujer fantástica","https://www.imdb.com/title/tt5639354/","Movie","7.2","104","2017","Drama","28136","2018-02-02","Sebastián Lelio","",""
119,"tt2372162","2020-06-27","2020-06-27","","Orange Is the New Black","Orange Is the New Black","https://www.imdb.com/title/tt2372162/","TV Series","8.0","60","2013","Comedy, Crime, Drama","330374","2013-07-11","","",""
120,"tt8089592","2021-05-24","2021-05-24","","Little Fires Everywhere","Little Fires Everywhere","https://www.imdb.com/title/tt8089592/","TV Mini Series","7.6","58","2020","Drama, Mystery, Thriller","59516","2020-03-18","","",""
121,"tt5164432","2021-05-24","2021-05-24","","Love, Simon","Love, Simon","https://www.imdb.com/title/tt5164432/","Movie","7.5","110","2018","Comedy, Drama, Romance","131265","2018-03-16","Greg Berlanti","",""
122,"tt8286894","2020-06-27","2020-06-27","","Rafiki","Rafiki","https://www.imdb.com/title/tt8286894/","Movie","6.8","83","2018","Drama, Romance","3507","2019-04-19","Wanuri Kahiu","",""
123,"tt1489887","2021-05-24","2021-05-24","","Booksmart","Booksmart","https://www.imdb.com/title/tt1489887/","Movie","7.1","102","2019","Comedy","137575","2019-05-24","Olivia Wilde","",""
124,"tt10417836","2020-06-27","2020-06-27","","Work in Progress","Work in Progress","https://www.imdb.com/title/tt10417836/","TV Series","7.4","30","2019","Comedy","2216","2019-12-08","","",""
125,"tt3502262","2020-06-27","2020-06-27","","Transparent","Transparent","https://www.imdb.com/title/tt3502262/","TV Series","7.8","30","2014","Comedy, Drama","24104","2014-02-06","","",""
126,"tt11454722","2021-05-24","2021-05-24","","Generation","Genera+ion","https://www.imdb.com/title/tt11454722/","TV Series","7.2","30","2021","Comedy, Drama","6253","2021-03-11","","",""
127,"tt6116060","2020-06-27","2020-06-27","","The Bold Type","The Bold Type","https://www.imdb.com/title/tt6116060/","TV Series","7.8","45","2017","Comedy, Drama","25484","2017-06-20","","",""
128,"tt10161886","2021-05-24","2021-05-24","","The Prom","The Prom","https://www.imdb.com/title/tt10161886/","Movie","5.9","130","2020","Comedy, Drama, Musical","30103","2020-12-11","Ryan Murphy","",""
129,"tt8635092","2021-05-24","2021-05-24","","Everybody's Talking About Jamie","Everybody's Talking About Jamie","https://www.imdb.com/title/tt8635092/","Movie","6.6","115","2021","Biography, Comedy, Drama, Musical","8040","2021-09-17","Jonathan Butterell, Dan Gillespie Sells, Tom MacRae","",""
130,"tt8291806","2021-05-24","2021-05-24","","Pain and Glory","Dolor y gloria","https://www.imdb.com/title/tt8291806/","Movie","7.5","113","2019","Drama","65867","2019-10-04","Pedro Almodóvar","",""
131,"tt8522006","2021-05-24","2021-05-24","","Happiest Season","Happiest Season","https://www.imdb.com/title/tt8522006/","Movie","6.6","102","2020","Comedy, Romance","51000","2020-11-25","Clea DuVall","",""
132,"tt6333070","2018-08-08","2018-08-08","","The Wound","Inxeba","https://www.imdb.com/title/tt6333070/","Movie","6.8","88","2017","Drama, Romance","2164","2017-04-19","John Trengove","",""
