"Position","Const","Created","Modified","Description","Title","Original.Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors","Your.Rating","Date.Rated"
10871,"tt7983894","2024-06-11","2024-06-11","","Ammonite","Ammonite","https://www.imdb.com/title/tt7983894/","Movie","6.5","117","2020","Drama, History, Romance","25494","2020-11-13","Francis Lee",NA,NA
10872,"tt0109045","2024-06-11","2024-06-11","","The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert","https://www.imdb.com/title/tt0109045/","Movie","7.5","104","1994","Comedy, Music","58800","1994-08-10","Stephan Elliott",NA,NA
10873,"tt1714210","2024-06-11","2024-06-11","","Weekend","Weekend","https://www.imdb.com/title/tt1714210/","Movie","7.6","97","2011","Drama, Romance","33933","2011-11-04","Andrew Haigh",NA,NA
10874,"tt11317142","2024-07-30","2024-07-30","","Shiva Baby","Shiva Baby","https://www.imdb.com/title/tt11317142/","Movie","7.1","77","2020","Comedy, Drama","39290","2021-04-02","Emma Seligman",NA,NA
10875,"tt2278871","2018-06-13","2018-06-13","","Blue Is the Warmest Colour","La vie d'Adèle","https://www.imdb.com/title/tt2278871/","Movie","7.7","180","2013","Drama, Romance","169701","2013-10-09","Abdellatif Kechiche",NA,NA
10876,"tt4080768","2018-06-13","2018-06-13","","Summertime","La belle saison","https://www.imdb.com/title/tt4080768/","Movie","6.7","105","2015","Drama, Romance","6075","2015-08-19","Catherine Corsini",NA,NA
10877,"tt0810819","2018-06-13","2018-06-13","","The Danish Girl","The Danish Girl","https://www.imdb.com/title/tt0810819/","Movie","7.1","119","2015","Biography, Drama","204073","2016-01-22","Tom Hooper",NA,NA
10878,"tt1424797","2018-06-13","2018-06-13","","I Killed My Mother","J'ai tué ma mère","https://www.imdb.com/title/tt1424797/","Movie","7.4","96","2009","Drama, Romance","32179","2009-07-15","Xavier Dolan",NA,NA
10879,"tt1847731","2018-06-13","2018-06-13","","Tomboy","Tomboy","https://www.imdb.com/title/tt1847731/","Movie","7.4","82","2011","Drama","22987","2011-04-20","Céline Sciamma",NA,NA
10880,"tt1658801","2018-06-13","2018-06-13","","Freeheld","Freeheld","https://www.imdb.com/title/tt1658801/","Movie","6.6","103","2015","Biography, Drama, Romance","13575","2016-02-10","Peter Sollett",NA,NA
10881,"tt4016934","2018-06-13","2018-06-13","","The Handmaiden","Ah-ga-ssi","https://www.imdb.com/title/tt4016934/","Movie","8.1","145","2016","Drama, Romance, Thriller","191180","2017-09-02","Park Chan-wook",NA,NA
10882,"tt5073620","2018-06-13","2018-06-13","","Below Her Mouth","Below Her Mouth","https://www.imdb.com/title/tt5073620/","Movie","5.5","94","2016","Drama, Romance","15425","2017-04-28","April Mullen",NA,NA
10883,"tt0118845","2018-06-13","2018-06-13","","Happy Together","Chun gwong ja sit","https://www.imdb.com/title/tt0118845/","Movie","7.7","96","1997","Drama, Romance","36792","1997-05-30","Wong Kar-Wai",NA,NA
10884,"tt2402927","2018-06-13","2018-06-13","","Carol","Carol","https://www.imdb.com/title/tt2402927/","Movie","7.3","118","2015","Drama, Romance","149704","2016-01-15","Todd Haynes",NA,NA
10885,"tt1702014","2018-06-13","2018-06-13","","The Way He Looks","Hoje Eu Quero Voltar Sozinho","https://www.imdb.com/title/tt1702014/","Movie","7.9","96","2014","Drama, Romance","28854","2014-11-07","Daniel Ribeiro",NA,NA
10886,"tt4975722","2018-06-13","2018-06-13","","Moonlight","Moonlight","https://www.imdb.com/title/tt4975722/","Movie","7.4","111","2016","Drama","343800","2016-11-18","Barry Jenkins",NA,NA
10887,"tt4262174","2018-06-13","2018-06-13","","First Girl I Loved","First Girl I Loved","https://www.imdb.com/title/tt4262174/","Movie","6.1","90","2016","Drama, Romance","4264","2016-10-18","Kerem Sanga",NA,NA
10888,"tt5688996","2019-01-02","2019-01-02","","Alex Strangelove","Alex Strangelove","https://www.imdb.com/title/tt5688996/","Movie","6.3","99","2018","Comedy, Drama, Romance","20180","2018-06-08","Craig Johnson",NA,NA
10889,"tt5022872","2019-01-27","2019-01-27","","Blush","Barash","https://www.imdb.com/title/tt5022872/","Movie","5.9","84","2015","Comedy, Drama, Romance","946","2016-06-16","Michal Vinik",NA,NA
10890,"tt1409004","2019-05-31","2019-05-31","","Bloomington","Bloomington","https://www.imdb.com/title/tt1409004/","Movie","5.8","83","2010","Drama","6458","2010-06-23","Fernanda Cardoso",NA,NA
10891,"tt5726616","2019-05-31","2019-05-31","","Call Me by Your Name","Call Me by Your Name","https://www.imdb.com/title/tt5726616/","Movie","7.8","132","2017","Drama, Romance","343356","2018-01-19","Luca Guadagnino",NA,NA
10892,"tt5164432","2019-08-06","2019-08-06","","Love, Simon","Love, Simon","https://www.imdb.com/title/tt5164432/","Movie","7.5","110","2018","Comedy, Drama, Romance","131265","2018-03-16","Greg Berlanti",NA,NA
10893,"tt3899516","2020-08-17","2020-08-17","","Those People","Those People","https://www.imdb.com/title/tt3899516/","Movie","6.5","89","2015","Drama, Romance","6835","2016-05-06","Joey Kuhn",NA,NA
10894,"tt9683478","2021-02-11","2021-02-11","","The Half of It","The Half of It","https://www.imdb.com/title/tt9683478/","Movie","6.9","104","2020","Comedy, Drama","45827","2020-05-01","Alice Wu",NA,NA
10895,"tt0388795","2021-02-18","2021-02-18","","Brokeback Mountain","Brokeback Mountain","https://www.imdb.com/title/tt0388795/","Movie","7.7","134","2005","Drama, Romance","404694","2006-01-13","Ang Lee",NA,NA
10896,"tt0421994","2021-03-25","2021-03-25","","Imagine Me & You","Imagine Me & You","https://www.imdb.com/title/tt0421994/","Movie","6.8","90","2005","Comedy, Drama, Romance","38211","2006-05-25","Ol Parker",NA,NA
10897,"tt0484437","2021-10-30","2021-10-30","","Love Sick","Legaturi bolnavicioase","https://www.imdb.com/title/tt0484437/","Movie","6.5","86","2006","Drama","3342","2006-06-08","Tudor Giurgiu",NA,NA
10898,"tt2258281","2021-10-30","2021-10-30","","Beyond the Hills","Dupa dealuri","https://www.imdb.com/title/tt2258281/","Movie","7.5","152","2012","Drama","13570","2012-10-26","Cristian Mungiu",NA,NA
10899,"tt0179116","2021-10-30","2021-10-30","","But I'm a Cheerleader","But I'm a Cheerleader","https://www.imdb.com/title/tt0179116/","Movie","6.8","85","1999","Comedy, Drama, Romance","48096","2000-08-11","Jamie Babbit",NA,NA
10900,"tt10457128","2021-10-30","2021-10-30","","Summer of 85","Été 85","https://www.imdb.com/title/tt10457128/","Movie","6.9","101","2020","Drama, Romance","15153","2021-06-18","François Ozon",NA,NA
10901,"tt11768008","2021-10-30","2021-10-30","","Poppy Field","Câmp de maci","https://www.imdb.com/title/tt11768008/","Movie","6.1","81","2020","Drama","1622","2022-04-08","Eugen Jebeleanu",NA,NA
10902,"tt6257174","2024-05-05","2024-05-05","","The Miseducation of Cameron Post","The Miseducation of Cameron Post","https://www.imdb.com/title/tt6257174/","Movie","6.6","91","2018","Comedy, Drama","26951","2018-09-07","Desiree Akhavan",NA,NA
10903,"tt8613070","2025-06-09","2025-06-09","","Portrait of a Lady on Fire","Portrait de la jeune fille en feu","https://www.imdb.com/title/tt8613070/","Movie","8","122","2019","Drama, Romance","120837","2020-02-14","Céline Sciamma",NA,NA
10904,"tt6958014","2025-06-17","2025-06-17","","Duck Butter","Duck Butter","https://www.imdb.com/title/tt6958014/","Movie","5.2","93","2018","Comedy, Drama, Romance","4926","2018-04-27","Miguel Arteta",NA,NA
10905,"tt6108178","2025-07-20","2025-07-20","","Disobedience","Disobedience","https://www.imdb.com/title/tt6108178/","Movie","6.6","114","2017","Drama","38868","2018-04-27","Sebastián Lelio",NA,NA
