Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
369,tt0102958,2019-12-05,2020-08-10,"Making Sólo con tu pareja, a collection of new video interviews with Cuarón, screenwriter Carlos Cuarón, and actor Daniel Giménez Cacho Short films by Alfonso Cuarón and Carlos Cuarón Original theatrical trailer","Love in the Time of Hysteria","Sólo con tu pareja",https://www.imdb.com/title/tt0102958/,Movie,6.8,94,1991,"Comedy, Romance",4355,1992-12-25,"Alfonso Cuarón",,
370,tt0106579,2019-12-05,2020-08-10,"Audio Commentary by Steven Soderbergh interviewing Lodge Kerrigan A Subjective Assault: Lodge Kerrigan's Clean, Shaven, a new video essay, written and narrated by critic Michael Atkinson The film's original soundtrack, composed by Hahn Rowe, and selections from the film's final audio mix (all downloadable as MP3 files) Trailer","Clean, Shaven","Clean, Shaven",https://www.imdb.com/title/tt0106579/,Movie,7.0,79,1993,"Crime, Drama, Thriller",6300,1995-04-21,"Lodge Kerrigan",,
371,tt0057286,2019-12-05,2020-08-10,"Neapolitan Diary (1992), Francesco Rosi's feature-length sequel to Hands over the City New video interviews with Rosi, film critic Tullio Kezich, and filmmaker Jean-Pierre Gorin Video discussion with Rosi, co-writer Raffaele La Capria, and film critic Michel Ciment","Hands Over the City","Le mani sulla città",https://www.imdb.com/title/tt0057286/,Movie,7.6,101,1963,"Drama",3556,1963-11-07,"Francesco Rosi",,
372,tt0098725,2019-12-05,2020-08-10,"Audio Commentary by Jane Campion, Bongers, and screenwriter Gerard Lee Making “Sweetie,” a video conversation between stars Genevieve Lemon and Karen Colston Campion’s early short films An Exercise in Discipline: Peel, Passionless Moments, and A Girl’s Own Story Jane Campion: The Film School Years, a 1989 video conversation between Campion and critic Peter Thompson Behind-the-scenes photos and production stills Original theatrical trailer ","Sweetie","Sweetie",https://www.imdb.com/title/tt0098725/,Movie,6.7,97,1989,"Comedy, Drama",5720,1989-09-28,"Jane Campion",,
373,tt0040338,2019-12-05,2020-08-10,"A Sense of Carol Reed, a 2006 documentary featuring interviews with director Carol Reed's friends and collaborators Illustrated Reed filmography Original press book","The Fallen Idol","The Fallen Idol",https://www.imdb.com/title/tt0040338/,Movie,7.6,95,1948,"Drama, Film-Noir, Mystery, Thriller",10369,1949-10-03,"Carol Reed",,
374,tt0018737,2019-12-05,2020-08-10,"Audio Commentary by film scholars Thomas Elsaesser and Mary Ann Doane Louise Brooks: Looking for Lulu (1998), a 60-minute documentary by Hugh Munro Neeley Lulu in Berlin (1971), a rare, 48-minute interview with Louise Brooks by vérité documentarian Richard Leacock and Susan Steinberg Woll New video interviews with Leacock, about Brooks, and Michael Pabst, the director's son Stills gallery","Pandora's Box","Die Büchse der Pandora",https://www.imdb.com/title/tt0018737/,Movie,7.7,109,1929,"Crime, Drama, Romance",12560,1930-02-22,"Georg Wilhelm Pabst",,
375,tt0101765,2019-12-05,2020-08-11,"Audio Commentary by Annette Insdorf, author of Double Lives, Second Chances: The Cinema of Krzysztof Kieslowski Three short documentary films by Kieślowski: Factory (1970), Hospital (1976), and Railway Station (1980) The Musicians (1958), a short film by Kieślowski's teacher Kazimierz Karabasz Kieślowski's Dialogue (1991), a documentary featuring a candid interview with Kieślowski and rare behind-the-scenes footage from the set of The Double Life of Véronique 1966-1988: Kieślowski, Polish Filmmaker, a 2005 documentary tracing the filmmaker's work in Poland, from his days as a student through The Double Life of Véronique A 2005 interview with actress Irène Jacob New video interviews with cinematographer Slawomir Idziak and composer Zbigniew Preisner ","The Double Life of Véronique","La double vie de Véronique",https://www.imdb.com/title/tt0101765/,Movie,7.6,98,1991,"Drama, Fantasy, Music, Mystery, Romance",55554,1991-11-22,"Krzysztof Kieslowski",,
376,tt0296881,2019-12-05,2020-08-11,"Discovering William Greaves, a new documentary on Greaves's career, featuring Greaves, his wife and coproducer Louise Archambault, actor Ruby Dee, filmmaker St. Clair Bourne, and film scholar Scott MacDonald Theatrical trailer Symbiopsychotaxiplasm Take 2½ New video interview with actor Steve Buscemi","Symbiopsychotaxiplasm: Take One","Symbiopsychotaxiplasm: Take One",https://www.imdb.com/title/tt0296881/,Movie,7.2,75,1968,"Documentary",2754,1968-10-28,"William Greaves",,
377,tt0839739,2019-12-05,2020-08-11,"New video introduction by Maysles","The Beales of Grey Gardens","The Beales of Grey Gardens",https://www.imdb.com/title/tt0839739/,Movie,7.2,91,2006,"Documentary",1409,2006-07-21,"Albert Maysles, David Maysles",,
378,tt0090766,2019-12-05,2020-08-11,"Audio Commentary by Allison Anders and Kurt Voss Audio Commentary by actors Luanna Anders, Dave Alvin, Chris D., John Doe, and Chris Shearer The Making of “Border Radio,” a 2002 documentary featuring interviews with Anders, Lent, Voss, Doe, and Chris D. Nine deleted scenes Music video of the Flesh Eaters’ “The Wedding Dice” Stills gallery featuring rare behind-the-scenes photos Theatrical trailer and radio spot Bios of cast and crew","Border Radio","Border Radio",https://www.imdb.com/title/tt0090766/,Movie,5.3,87,1987,"Drama",783,1987-11-14,"Allison Anders, Dean Lent, Kurt Voss",,
379,tt0061996,2019-12-05,2020-08-11,"Audio Commentary by film scholar, critic and festival programmer Tony Rayns Au hasard Bresson, a half-hour documentary about the director, including behind-the-scenes footage of Robert Bresson directing Mouchette “Traveling,” a segment from the cine-magazine TV series Cinéma, featuring on-set interviews with Bresson and actors Nadine Nortier and Jean-Claude Guilbert Original theatrical trailer, cut by Jean-Luc Godard","Mouchette","Mouchette",https://www.imdb.com/title/tt0061996/,Movie,7.7,81,1967,"Drama",13688,1970-03-12,"Robert Bresson",,
380,tt0052805,2019-12-05,2020-08-11,"Audio Commentary by producer Richard Gordon and writer Tom Weaver New video interviews with director Robert Day and costar Marla Landi Original theatrical trailers and radio spots Stills galleries featuring production and publicity photographs","First Man Into Space","First Man Into Space",https://www.imdb.com/title/tt0052805/,Movie,5.4,77,1959,"Drama, Horror, Sci-Fi",1894,1959-02-27,"Robert Day",,
381,tt0052587,2019-12-05,2020-08-11,"Audio Commentary by producer Alex Gordon and writer Tom Weaver New video interview with actor Brett Halsey Original theatrical trailers and radio spots Stills galleries featuring production and publicity photographs ","The Atomic Submarine","The Atomic Submarine",https://www.imdb.com/title/tt0052587/,Movie,5.1,72,1959,"Sci-Fi, Thriller",1988,1959-11-29,"Spencer Gordon Bennet",,
382,tt0051706,2019-12-05,2020-08-11,"Audio Commentary by Richard Gordon and writer Tom Weaver, with additional comments from Alex Gordon New video interviews with director Robert Day, screenwriter Jan Read, and costars Jean Kent and Vera Day Deleted scenes Original theatrical trailers and radio spots Stills galleries featuring production and publicity photographs ","The Haunted Strangler","Grip of the Strangler",https://www.imdb.com/title/tt0051706/,Movie,6.2,78,1958,"Crime, Mystery, Horror",2287,1958-05-11,"Robert Day",,
383,tt0051542,2019-12-05,2020-08-11,"Audio Commentaries by Richard Gordon and writer Tom Weaver New video interviews with Day and costars Francis Matthews and Yvonne Romain Deleted scenes Original theatrical trailers and radio spots Stills galleries featuring production and publicity photographs","Corridors of Blood","Corridors of Blood",https://www.imdb.com/title/tt0051542/,Movie,6.4,86,1958,"Crime, Horror, Thriller",2463,1963-05-12,"Robert Day",,
384,tt0015634,2019-12-05,2020-08-11,"Audio Commentary by Oscar Micheaux historian Pearl Bowser Musical scores by jazz recording artists and composers Wycliffe Gordon","Body and Soul","Body and Soul",https://www.imdb.com/title/tt0015634/,Movie,6.2,102,1925,"Crime, Drama, Thriller",1276,1925-11-09,"Oscar Micheaux",,
385,tt0020701,2019-12-05,2020-08-11," Musical scores by jazz recording artists and composer Courtney Pine","Borderline","Borderline",https://www.imdb.com/title/tt0020701/,Movie,6.1,63,1930,"Drama",615,1930-10-13,"Kenneth MacPherson",,
386,tt0023985,2019-12-05,2020-08-11,"Audio Commentary by historian Jeffrey C. Stewart Our Paul: Remembering Paul Robeson, a new video program including interviews with filmmaker William Greaves and actors Ruby Dee and James Earl Jones Robeson on Robeson, a new interview with Paul Robeson Jr. about his father's career and art","The Emperor Jones","The Emperor Jones",https://www.imdb.com/title/tt0023985/,Movie,6.4,72,1933,"Drama, Music",1368,1933-09-29,"Dudley Murphy, William C. de Mille",,
387,tt0079704,2019-12-05,2019-12-05,,"Paul Robeson: Tribute to an Artist","Paul Robeson: Tribute to an Artist",https://www.imdb.com/title/tt0079704/,Short,7.5,30,1979,"Documentary, Short, Biography, Music",544,1979-10,"Saul J. Turell",,
388,tt0026966,2019-12-05,2020-08-11,"True Pioneer: The British Films of Paul Robeson, a new video program featuring interviews with Paul Robeson Jr. and film historians Stephen Bourne and Ian Christie, and including film clips from Song of Freedom (1936), King Solomon's Mines (1937), and Big Fella (1937)","Sanders of the River","Sanders of the River",https://www.imdb.com/title/tt0026966/,Movie,5.4,85,1935,"Adventure, Drama, Music",777,1935-06-26,"Zoltan Korda",,
389,tt0029064,2019-12-05,2019-12-05,,"Dark Sands","Jericho",https://www.imdb.com/title/tt0029064/,Movie,6.2,77,1937,"Adventure, Drama, Musical",355,1938-08-16,"Thornton Freeland",,
